utilidad_real,inversion,compras_cliente,clusters,cluster_names
-0.24122199865678576,-0.24867695016493932,-0.317601190318429,1,Comprador Sin nivel
0.14393611803977813,0.3750290174761896,-0.317601190318429,1,Comprador Sin nivel
-0.305518050803037,-0.33866023503927245,-0.317601190318429,1,Comprador Sin nivel
-0.32826212328304655,-0.3885710335291354,-0.317601190318429,1,Comprador Sin nivel
-0.3338820885643531,-0.39991327115360564,-0.317601190318429,1,Comprador Sin nivel
-0.005121418264131538,0.03182054864196386,0.9593520491061823,4,Comprador Bronce
-0.31331199382290187,-0.36854819865898286,-0.06221054243350671,1,Comprador Sin nivel
-0.3270760916490046,-0.3916542400449576,-0.317601190318429,1,Comprador Sin nivel
-0.2721487405863776,-0.32192629529863104,-0.317601190318429,1,Comprador Sin nivel
-0.2891886212924232,-0.31661723656078405,-0.06221054243350671,1,Comprador Sin nivel
-0.1762457117518101,-0.20178850775822824,-0.317601190318429,1,Comprador Sin nivel
-0.18412453814339136,-0.12460666803506178,0.70396140122126,1,Comprador Sin nivel
-0.3221115456953102,-0.37062970799420847,-0.317601190318429,1,Comprador Sin nivel
-0.27574945964076686,-0.3706938839737805,-0.317601190318429,1,Comprador Sin nivel
-0.04912297292740194,0.03970662320339682,1.470133344876027,4,Comprador Bronce
-0.28258450520782913,-0.34922825704248905,-0.06221054243350671,1,Comprador Sin nivel
0.604240177257371,1.0694900285620657,1.2147426969911046,4,Comprador Bronce
-0.3015592596750102,-0.3567410212751216,-0.317601190318429,1,Comprador Sin nivel
-0.18482863950792078,-0.24024421229791273,0.19318010545141556,1,Comprador Sin nivel
-0.26966851123326907,-0.3072861764923833,-0.317601190318429,1,Comprador Sin nivel
-0.2814748175177384,-0.36833472685041757,-0.06221054243350671,1,Comprador Sin nivel
-0.28906293843249575,-0.307129592762733,0.19318010545141556,1,Comprador Sin nivel
-0.16080905386874095,-0.06999425378929869,-0.06221054243350671,1,Comprador Sin nivel
-0.31616708215892986,-0.3799267342741041,-0.317601190318429,1,Comprador Sin nivel
-0.2747993205754156,-0.3086907601423107,-0.06221054243350671,1,Comprador Sin nivel
0.45897692037052645,0.8343643812620426,0.19318010545141556,4,Comprador Bronce
0.11929833621965452,0.227338861585859,-0.06221054243350671,1,Comprador Sin nivel
-0.31518409914063583,-0.35796411497179403,-0.317601190318429,1,Comprador Sin nivel
-0.25414062014758126,-0.2523492030202731,-0.06221054243350671,1,Comprador Sin nivel
-0.32403751509587014,-0.3845479000975088,-0.317601190318429,1,Comprador Sin nivel
0.09904222966833558,-0.060358941557546626,0.19318010545141556,1,Comprador Sin nivel
-0.30832219451872267,-0.3600335957331197,-0.317601190318429,1,Comprador Sin nivel
-0.3260925247382139,-0.38885936552114864,-0.317601190318429,1,Comprador Sin nivel
-0.2922943454826849,-0.3281592900246273,-0.317601190318429,1,Comprador Sin nivel
0.85666011501507,-0.15197606054907656,0.44857075333633784,4,Comprador Bronce
-0.3096412076689015,-0.3839976282197452,-0.317601190318429,1,Comprador Sin nivel
-0.3165296793994172,-0.3748994979471009,-0.317601190318429,1,Comprador Sin nivel
-0.08481325581867882,-0.1500560878856954,-0.06221054243350671,1,Comprador Sin nivel
0.10423872691636751,-0.05306644173991704,0.44857075333633784,1,Comprador Sin nivel
-0.31129785665533133,-0.37604468893869203,-0.317601190318429,1,Comprador Sin nivel
-0.3149785689817766,-0.35748070781365066,-0.317601190318429,1,Comprador Sin nivel
-0.2884158395729624,-0.3431628132752872,-0.317601190318429,1,Comprador Sin nivel
0.01753361061012225,-0.09324831739055964,-0.317601190318429,1,Comprador Sin nivel
-0.2212755011018733,-0.14058570862900657,-0.317601190318429,1,Comprador Sin nivel
0.17109149833280274,0.2939472310693953,0.19318010545141556,1,Comprador Sin nivel
-0.33170708901392537,-0.39778350601014617,-0.317601190318429,1,Comprador Sin nivel
-0.031228565552349395,0.29408287092919644,-0.06221054243350671,1,Comprador Sin nivel
-0.3210402489368814,-0.3948399724641974,-0.317601190318429,1,Comprador Sin nivel
-0.2016375907314981,-0.31851173695002416,-0.06221054243350671,1,Comprador Sin nivel
0.16966358923197833,0.24213110647378233,0.9593520491061823,4,Comprador Bronce
-0.31652588409818827,-0.3841841418715113,-0.317601190318429,1,Comprador Sin nivel
-0.3227669650229223,-0.3945906272028834,-0.317601190318429,1,Comprador Sin nivel
0.701680449062781,1.42735446561756,1.2147426969911046,4,Comprador Bronce
1.1931900588771684,1.4292288004564386,-0.06221054243350671,4,Comprador Bronce
-0.02125480586895854,0.021086320049976966,-0.06221054243350671,1,Comprador Sin nivel
-0.2914185067375462,-0.33389055170636206,-0.317601190318429,1,Comprador Sin nivel
-0.1233523502016435,-0.2753856909465793,-0.06221054243350671,1,Comprador Sin nivel
10.990123154657018,7.184034646692423,0.44857075333633784,2,Comprador Diamante
-0.022886347478027712,0.10713357251898242,-0.317601190318429,1,Comprador Sin nivel
1.091020695767382,1.1595766884156211,0.9593520491061823,4,Comprador Bronce
-0.32569299629730647,-0.39468437932298583,-0.317601190318429,1,Comprador Sin nivel
-0.32945618343891897,-0.3999981787340758,-0.317601190318429,1,Comprador Sin nivel
-0.2790107911814149,-0.33028197953638094,-0.317601190318429,1,Comprador Sin nivel
-0.09377089658458466,-0.3573108926527104,-0.317601190318429,1,Comprador Sin nivel
-0.18497169316962678,-0.24565615072076274,0.19318010545141556,1,Comprador Sin nivel
-0.32031709807964526,-0.39564015565381144,-0.317601190318429,1,Comprador Sin nivel
