creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2019-01-11 18:48:58,2019-01-11,PG1901090402,NORMA MARTINEZ,RECURRENTE,GRUPO IMR,3500.0,GORRA DE CAMPAÑA,5.708,0.0,7.52,26320.0,0.0,0.0,6342.0
2019-01-11 18:48:58,2019-01-11,PG1901090402,NORMA MARTINEZ,RECURRENTE,GRUPO IMR,3500.0,BOLIGRAFOS,0.7,0.0,0.97,3395.0,0.0,0.0,945.0
2019-01-11 18:53:06,2019-01-11,PG1901090402,NORMA MARTINEZ,RECURRENTE,GRUPO IMR,3500.0,LLAVEROS DESTAPADOR,2.63,0.0,3.29,11515.0,0.0,0.0,2310.0
2019-01-15 15:24:38,2019-01-15,PG1810160205,NORMA MARTINEZ,NUEVO,DICREE PUBLICIDAD,300.0,SOMBRILLAS,78.2,3.15,102.5,30750.0,2.0,0.0,6188.6
2019-01-16 18:00:13,2019-01-10,AC1901100201,NORMA MARTINEZ,NUEVO,FPGRAPHICS,160.0,BOLIGRAFOS SEVILLA,2.94,0.0,10.13,1620.8,0.0,0.0,1150.4
2019-01-16 18:00:13,2019-01-10,AC1901100201,NORMA MARTINEZ,NUEVO,FPGRAPHICS,160.0,BOLIGRAFO LORD,3.59,0.0,12.52,2003.2,0.0,0.0,1428.8
2019-01-17 12:20:15,2019-01-17,PG1901160103,NORMA MARTINEZ,NUEVO,ANGELICA,100.0,LLAVERO FLEXOMETRO,6.08,0.0,11.55,1155.0,0.0,0.0,547.0
2019-01-18 16:58:21,2019-01-18,PG1812060702,NORMA MARTINEZ,NUEVO,MADISA,8.0,TABLAS,68.78,0.0,162.36,1298.88,0.0,0.0,748.64
2019-01-21 10:10:29,2019-01-18,PG1901151602,NORMA MARTINEZ,RECURRENTE,NAVITUR,100.0,IMPERMEABLES,10.49,4.0,24.63,2463.0,1.0,0.0,1003.51
2019-01-21 10:10:29,2019-01-18,PG1901151106,NORMA MARTINEZ,RECURRENTE,NAVITUR,4000.0,BOLSAS NON WOVEN,2.66,1.4,5.6,22400.0,1.0,0.0,6157.34
2019-01-25 10:48:53,2019-01-23,PG1812190602,NORMA MARTINEZ,NUEVO,XIMENA YONG,50.0,BOLIGRAFO MAO,48.16,0.0,71.64,3582.0,0.0,0.0,1174.0
2019-01-28 13:28:15,2019-01-28,AC1901280101,NORMA MARTINEZ,RECURRENTE,FP GRAPHICS,2050.0,BOLIGRAFOS,2.73,0.0,3.42,7011.0,0.0,0.0,1414.5
2019-01-28 13:33:01,2019-01-28,AC1901280101,NORMA MARTINEZ,RECURRENTE,FP GRAPHICS,3.0,BOLIGRAFOS LIXIN,15.95,0.0,38.12,114.36,0.0,0.0,66.51
2019-01-28 16:30:51,2019-01-28,PG1901240403,NORMA MARTINEZ,RECURRENTE,DERMOGALENIC,6000.0,BOLSAS NON WOVEN,3.6,1.15,6.2,37200.0,4.0,0.0,8685.6
2019-01-28 16:30:51,2019-01-28,PG1901240403,NORMA MARTINEZ,RECURRENTE,DERMOGALENIC,500.0,LISTÓN CON SERIGRAFIA,7.36,0.0,15.16,7580.0,0.0,0.0,3900.0
2019-01-28 16:34:14,2019-01-28,AC1901280202,NORMA MARTINEZ,NUEVO,CESAR GUERRA,79.0,TERMOS,106.4,0.0,141.24,11157.96,0.0,0.0,2752.36
2019-01-29 10:12:30,2019-01-29,PG1901240602,NORMA MARTINEZ,RECURRENTE,VICTOR CHOMBO,125.0,TERMOS,95.0,15.0,140.8,17600.0,0.0,0.0,3850.0
2019-01-29 13:19:06,2019-01-29,PG1901230202,NORMA MARTINEZ,NUEVO,BUSINESS MARKETING,1000.0,MORRALES,6.75,1.5,10.31,10310.0,2.0,0.0,2046.5
2019-01-29 13:42:12,2019-01-29,PG1901280402,NORMA MARTINEZ,NUEVO,BUSINESS MARKETING,1500.0,BOLIGRAFOS,1.596,0.7,2.88,4320.0,5.0,0.0,868.02
2019-01-30 11:22:58,2019-01-29,PG1901280402,NORMA MARTINEZ,NUEVO,BUSINESS MARKETING,1500.0,BOLIGRAFOS,1.596,0.7,2.88,4320.0,5.0,0.0,868.02
2019-02-01 17:11:43,2019-02-01,AC1901100104,NORMA MARTINEZ,RECURRENTE,LAGRIET,263.0,MOUSE,101.08,1.67,129.9,34163.7,1.0,0.0,7039.37
2019-02-01 17:11:43,2019-02-01,AC1901100104,NORMA MARTINEZ,RECURRENTE,LAGRIET,263.0,MOUSE PAD,45.66,4.18,62.5,16437.5,2.0,0.0,3238.26
2019-02-08 11:11:40,2019-02-06,PG1901150404,NORMA MARTINEZ,NUEVO,DIMSA,300.0,CILINDROS,12.72,1.95,21.56,6468.0,2.0,0.0,2041.56
2019-02-08 11:17:23,2019-02-06,PG1901220602,NORMA MARTINEZ,NUEVO,TILSA,50.0,LIBRETAS,30.0,32.8,87.92,4396.0,1.0,0.0,1226.0
2019-02-08 11:54:38,2019-02-06,PG1901290702,NORMA MARTINEZ,RECURRENTE,DERMOGALENIC,1000.0,COSMETIQUERA CRISTAL,14.27,0.0,20.69,20690.0,4.0,0.0,6362.92
2019-02-08 13:19:06,2019-02-08,PG1901210302,NORMA MARTINEZ,RECURRENTE,BENJAMIN,6.0,MOCHILAS,153.4,0.0,253.886,1523.316,0.0,0.0,602.916
2019-02-11 12:33:55,2019-02-11,PG1902051101,NORMA MARTINEZ,RECURRENTE,NAVITUR,400.0,TARJETEROS SILICON,5.59,3.15,11.66,4664.0,4.0,0.0,1145.64
2019-02-12 18:32:59,2019-02-12,PG1902070303,NORMA MARTINEZ,NUEVO,VIRIDIANA ARTEAGA,2000.0,ANTIESTRES SOCCER,6.15,0.7,8.49,16980.0,4.0,0.0,3255.4
2019-02-14 10:20:22,2019-02-14,PG1901310105,NORMA MARTINEZ,NUEVO,FRANCISCO TAPIA,100.0,LLAVEROS,23.29,4.0,39.84,3984.0,2.0,0.0,1208.42
2019-02-18 17:50:50,2019-02-18,PG1902140301,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,1020.0,BOLIGRAFOS,1.84,0.0,2.5,2550.0,0.0,0.0,673.2
2019-02-20 17:23:44,2019-02-20,PG1812190702,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,5001.0,LENTES,8.75,0.0,10.98,54910.98,0.0,0.0,11152.23
2019-02-21 09:33:19,2019-02-21,PG1902190301,NORMA MARTINEZ,RECURRENTE,ANVITE,500.0,CILINDROS,41.04,0.0,51.3,25650.0,0.0,0.0,5130.0
2019-02-22 14:27:27,2019-02-22,PG1902220601,NORMA MARTINEZ,RECURRENTE,NAVITUR,400.0,TARJETEROS,5.59,3.15,11.66,4664.0,3.0,0.0,1151.23
2019-02-26 10:47:41,2019-02-26,AC1902250102,NORMA MARTINEZ,RECURRENTE,LAGRIET,183.0,BOCINAS,170.61,2.69,212.52,38891.16,1.0,0.0,7006.65
2019-02-26 10:47:41,2019-02-26,AC1902250102,NORMA MARTINEZ,RECURRENTE,LAGRIET,183.0,COSMETIQUERAS,25.92,4.52,40.5,7411.5,1.0,0.0,1815.06
2019-02-27 15:03:05,2019-02-27,PG1902180202,NORMA MARTINEZ,NUEVO,MEDIA AGILITY,250.0,BOLSAS,8.25,11.12,26.54,6635.0,3.0,0.0,1767.75
2019-02-27 15:03:05,2019-02-27,PG1902180202,NORMA MARTINEZ,NUEVO,MEDIA AGILITY,200.0,CILINDROS,11.5,5.8,24.05,4810.0,3.0,0.0,1315.5
2019-02-27 15:03:05,2019-02-27,PG1902180202,NORMA MARTINEZ,NUEVO,MEDIA AGILITY,500.0,BOLIGRAFOS,4.56,1.0,7.78,3890.0,4.0,0.0,1091.76
2019-02-27 16:58:03,2019-02-27,PG1902130502,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,1020.0,BOLIGRAFOS,6.688,0.0,8.69,8863.8,1.0,0.0,2035.352
2019-02-27 18:34:37,2019-02-27,PG1902270302,NORMA MARTINEZ,RECURRENTE,CREACIONES LIBRES,2900.0,LIBRETAS,47.62,0.0,57.62,167098.0,0.0,0.0,29000.0
2019-02-28 12:16:16,2019-02-28,PG1902250105,NORMA MARTINEZ,RECURRENTE,ALVA IMPRESORA,50.0,LIBRETAS,30.0,0.0,52.5,2625.0,0.0,0.0,1125.0
2019-02-28 14:27:26,2019-02-28,PG1902270303,NORMA MARTINEZ,RECURRENTE,CREACIONES LIBRES,696.0,POWER BANK,97.2,0.0,124.4,86582.4,0.0,0.0,18931.2
2019-03-12 18:33:58,2019-02-28,PG1902270303,NORMA MARTINEZ,RECURRENTE,CREACIONES LIBRES,64.0,POWER BANK,97.2,0.0,109.47,7006.08,0.0,0.0,785.28
2019-02-28 18:04:39,2019-02-28,PG1902260103,NORMA MARTINEZ,RECURRENTE,CREACIONES LIBRES,1002.0,USB TECNOLOGY,69.0,0.0,83.49,83656.98,0.0,0.0,14518.98
2019-03-05 14:32:12,2019-03-05,PG1902110102,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,505.0,CONCENTRADOR DE PUERTOS,48.16,0.0,59.24,29916.2,0.0,0.0,5595.4
2019-03-05 14:42:54,2019-03-05,PG1903050104,NORMA MARTINEZ,RECURRENTE,IMAGEN LATENTE,100.0,LIBRETAS,64.21,0.0,80.26,8026.0,0.0,700.0,905.0
2019-03-05 16:38:12,2019-03-05,PG1902220901,NORMA MARTINEZ,RECURRENTE,MICHELS,70.0,HIELERAS,89.93,0.0,121.41,8498.7,0.0,1374.6,829.0
2019-03-06 14:57:46,2019-03-06,PG1903010302,NORMA MARTINEZ,RECURRENTE,NAVITUR,40.0,LIBRETAS,15.4,14.5,45.15,1806.0,0.0,0.0,610.0
2019-03-06 17:07:52,2019-03-06,AC1902060102,NORMA MARTINEZ,NUEVO,TMD FRICTION,100.0,HIELERA,124.52,11.0,171.63,17163.0,1.0,0.0,3486.48
2019-03-06 18:31:05,2019-03-06,PG1903060701,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,30.0,PLUMAS,4.82,0.0,21.64,649.2,0.0,0.0,504.6
2019-03-12 11:45:18,2019-03-12,PG1903111202,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,250.0,POWER BANK,56.4,0.0,69.94,17485.0,0.0,0.0,3385.0
2019-03-12 17:05:54,2019-03-12,PG1902200202,NORMA MARTINEZ,NUEVO,MANUEL GARCIA,1100.0,CILINDROS,25.26,1.3,32.93,36223.0,2.0,0.0,6956.48
2019-03-15 13:37:29,2019-03-15,PG1901090903,NORMA MARTINEZ,NUEVO,KSK VITACILINA,25000.0,BOLSAS,9.79,0.0,12.24,306000.0,5.0,0.0,61201.05
2019-03-15 13:53:55,2019-03-15,PG1903060301,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,200.0,IDENTIFICADOR,5.69,0.0,10.04,2008.0,0.0,0.0,870.0
2019-03-15 13:53:55,2019-03-15,PG1903060301,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,200.0,BOLIGRAFOS,6.08,0.0,9.73,1946.0,0.0,0.0,730.0
