articulo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
cubrebocas,0.03315790837632902,0.06259456392296636,-0.17151900920600363,-0.019580387350008527,0.014457206216916423,0.0647071010309211,0.011335903845854936,0.029167203277883268,0.08446025370892589,-0.0006112514237476344,0.09067714321390562,0.084102102227857
power_bank,0.032507874994172056,-0.03665284045333611,-0.03382216687937323,0.014885502300942606,0.07740503121132478,0.0196420582242217,-0.023172931030191718,-0.04786124508141802,-0.13817163470052654,-0.06163575942760538,0.08256959057464272,0.032025912030515816
toalla,0.03179657649888122,-0.024967485554158106,0.0547232185193294,-0.07432017859131897,0.07107943720262173,-0.06363976450550357,-0.06425602258711363,0.04488494156126287,0.05711736053590616,-0.05410774743203474,-0.046189056696074274,0.01863195161807274
carpeta,0.030655563917603684,0.0437174573540329,0.050052301313657954,4.761892176940313e-05,0.058151834886573384,-0.09785472278216117,-0.09004380307116373,-0.07255809125977655,-0.01157897944107502,-0.04609946920858864,0.03176001460636474,0.02598875401775411
organizador,0.03018732157342016,0.030313703344264045,0.03911988125496565,0.036062773700578976,-0.11222675439897473,-0.10989810773678252,-0.10434117562850326,0.036427173657613644,0.03777506611396721,0.07557612786254816,0.04947512555297587,0.01563058323336374
juego,0.029682330682522517,0.04802921007832511,0.013148912935169607,0.038925831739752,0.020528304887300584,-0.18237007671381958,0.057062269389724384,-0.022387133394034947,0.015136446964661501,-0.04834708017545629,0.01557744786803375,0.02760899552219338
sujetador,0.02890604229337075,0.02832119409475755,0.04341710026237683,0.054203458312218865,-0.03587016565410119,0.028929807799978453,-0.018296737311807164,0.03440343443700812,0.05880256185919893,-0.13095961409926543,-0.051353858536175696,0.007455193279261016
paraguas,0.027530979507806433,0.0401087624974151,0.046174896485793995,-0.06754157245111991,0.021600698234309185,-0.057016005202407474,-0.13676507842482502,-0.10048408026228388,-0.03526278601398701,0.0012451458401047527,0.026648414974297666,0.025219319995535987
set,0.02666568008274868,0.035061561389349905,-0.00431035777478786,-0.008003056896202676,-0.002438670988693617,0.04555570454350878,0.016995582279966982,0.01983963797653865,-0.07436400916291927,-0.1801683637586831,0.06678054951853041,0.029559042101815265
regla,0.026379537072368522,0.020559612372690994,0.007210483763989889,0.018170254659998303,0.022275197054257886,0.019225103493114543,0.0076538265554473295,-0.09514850669711852,-0.07929428674881635,0.028656750546808177,-0.15860418609799612,-0.11321673282055389
usb,0.02629703051600968,-0.05465729369952757,0.08111750075617084,-0.07336233366485972,0.029111777210840004,0.04703573904120399,-0.03845439988845087,-0.011896131862707368,-0.009099124559257502,-0.13157567132268194,-0.06796665563870405,0.0066051494725751225
ventilador,0.025815138832784176,0.019516616224297165,0.021140867077847347,0.017865530546366352,0.027768288661089723,0.03907024383231786,-0.20214443850972572,-0.0697404932413818,0.0155497961518133,0.050896379864488694,0.017161456130590027,0.014749772445960114
pantalón,0.02556385766728283,-0.15416098951349055,0.03368194303482273,-0.1304184938094224,0.027877270833464016,0.016385068552161,0.012930035945181523,-0.055458672529693935,0.008276855255886506,0.009372264538248354,-0.018409870446436875,0.03015434190463586
sudadera,0.022516932536433873,0.031693943165857406,-0.09070577601300409,-0.1283864075203618,-0.04283475195354137,0.02085167582284326,0.021926531490594606,0.021014755965799416,0.023014919737979568,0.04742844579357467,-0.09721839297140969,0.014592319023257333
antibacterial,0.02203840315945374,0.0017675428714030023,0.0021385647683280634,-0.18300524879424446,0.027501443740145903,-0.0270472076228543,0.01904745655212113,-0.06485879944391816,-0.048756752664832516,-0.061100080648210854,-0.0011392583853376964,0.025617181912610844
cubiertos,0.020028765647289774,0.031190647037429575,0.03032569561528764,0.01731879375181585,0.032846492747541006,-0.13028066005389277,-0.1311976306353282,-0.04619855452218408,-0.03758854617043576,0.07508821517213951,0.03442722371282987,0.020264337270771045
botella,0.01820708142389625,0.015439259621925765,0.02705093597778878,-0.04706059931509925,-0.15073781257841623,0.03734670222264159,-0.12122032580653008,-0.05700380210516023,-0.05877829423515319,0.05810614204073029,-0.0016336423139642411,0.012178930800192389
bolígrafo,0.01790441886551422,0.018565355891185603,0.02816256772052385,-0.03754242284539892,-0.0793666010671214,0.029530333318735197,-0.032603367788512264,0.02754015903728249,0.028838400181635512,-0.08682298904435777,-0.0518557221125755,0.04209408402657937
binoculares,0.015807401462185296,0.00450062393958028,0.01852795024765874,0.032384760094702335,-0.21998376199705888,0.011237105388631676,0.020482440144317313,0.013544922168467744,0.014491896298433813,0.01627978677999152,0.030057407431905724,0.005501446469485621
flyer,0.015807401462185296,0.00450062393958028,0.01852795024765874,0.032384760094702335,-0.21998376199705888,0.011237105388631676,0.020482440144317313,0.013544922168467744,0.014491896298433813,0.01627978677999152,0.030057407431905724,0.005501446469485621
iman,0.014615149136296732,0.0056567414629789675,0.019765356506176997,-0.002293679133208916,-0.21684869290243178,0.009802121001862743,0.019924154196893987,0.014295805557939321,0.014002357809294732,0.016544219377339603,0.032017915025478474,0.0052097926591119816
pin,0.011941414446017817,0.01482512038248568,0.019731382335365977,-0.1433323639989392,0.0350718343523538,0.02519261699359668,-0.17045292648091467,0.026395744019206305,0.006979666614941458,0.04320501803970411,0.023136458042123876,0.002550581897107662
peluche,0.008853507357082575,0.015830872732759623,0.0068586031638480024,0.008900592159887446,0.006118070036986816,-0.001180962790775831,0.01741406599751706,-0.21255690986557793,0.008572644312988726,-0.0040017172047133315,-0.002401303238359704,0.02130229018888678
tapete,0.008853507357082575,0.015830872732759623,0.0068586031638480024,0.008900592159887446,0.006118070036986816,-0.001180962790775831,0.01741406599751706,-0.21255690986557793,0.008572644312988726,-0.0040017172047133315,-0.002401303238359704,0.02130229018888678
espray,0.008853507357082575,0.015830872732759623,0.0068586031638480024,0.008900592159887446,0.006118070036986816,-0.001180962790775831,0.01741406599751706,-0.21255690986557793,0.008572644312988726,-0.0040017172047133315,-0.002401303238359704,0.02130229018888678
