creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-11-30 18:50:42,2018-11-27,PB1811200603,JESSICA OSORIO,RECURRENTE,UBRAND,60.0,TERMOS,127.84,8.5,167.5,10050.0,1.0,0.0,1741.76
2018-11-30 18:50:42,2018-11-27,PB1811200603,JESSICA OSORIO,RECURRENTE,UBRAND,50.0,LAMPARAS,22.11,8.8,43.27,2163.5,1.0,0.0,595.89
2018-11-30 18:58:02,2018-11-28,PB1811240104,JESSICA OSORIO,RECURRENTE,JR GRUPO,1045.0,PORTA TARJETERO,7.99,1.5,11.39,11902.55,2.0,0.0,1969.52
2018-11-30 19:01:22,2018-11-30,PB1811200103,JESSICA OSORIO,RECURRENTE,HITCHINER,20.0,AGENDAS,98.15,27.5,216.88,4337.6,1.0,910.0,816.45
2018-11-30 19:26:36,2018-11-29,PB1811210302,JESSICA OSORIO,RECURRENTE,TURNER,40.0,POP SOCKET,12.5,0.0,22.77,910.8,1.0,0.0,398.3
2018-11-30 19:30:48,2018-11-30,PB1811290201,JESSICA OSORIO,RECURRENTE,HITCHINER,1200.0,BORDADO CHAMARRAS,2.35,9.0,15.89,19068.0,0.0,0.0,5448.0
2018-11-30 19:30:48,2018-11-30,PB1811290102,JESSICA OSORIO,RECURRENTE,HITCHINER,52.0,TAMPOGRAFIA  VAJILLA,5.0,8.46,33.65,1749.8,0.0,0.0,1049.88
2018-12-05 13:47:00,2018-12-04,PB1811280105,JESSICA OSORIO,NUEVO,LS-GT,30.0,SET VINO,131.52,0.0,164.4,4932.0,0.0,0.0,986.4
2018-12-05 13:50:14,2018-12-04,PB1811300202,JESSICA OSORIO,RECURRENTE,VIMAR,12.0,MOCHILAS,470.39,0.0,602.1,7225.2,0.0,180.04,1400.48
2018-12-11 15:25:56,2018-12-05,PB1809260405,JESSICA OSORIO,RECURRENTE,SINTOQUIM,200.0,SOPORTE CEL,27.3,1.76,35.74,7148.0,1.0,0.0,1308.7
2018-12-11 15:25:56,2018-12-05,PB1809260405,JESSICA OSORIO,RECURRENTE,SINTOQUIM,200.0,VASO,37.67,3.0,51.4,10280.0,1.0,0.0,2108.33
2018-12-11 15:25:56,2018-12-05,PB1809260405,JESSICA OSORIO,RECURRENTE,SUPREME,50.0,SOPORTE CEL,27.3,1.76,35.74,1787.0,1.0,0.0,306.7
2018-12-11 15:25:56,2018-12-05,PB1809260405,JESSICA OSORIO,RECURRENTE,SUPREME,50.0,VASO,37.67,3.0,51.4,2570.0,1.0,0.0,498.83
2018-12-11 15:29:27,2018-12-10,PB1812070202,JESSICA OSORIO,RECURRENTE,ALPURA,46.0,BOLIGRAFO,38.25,6.5,56.1,2580.6,1.0,0.0,483.85
2018-12-13 13:19:14,2018-12-10,PB1812100101,JESSICA OSORIO,RECURRENTE,MÉXICO GRAN HOTEL,2000.0,BOLIGRAFO  V,3.49,0.7,6.35,12700.0,3.0,0.0,4309.53
2018-12-13 13:21:34,2018-12-10,PB1812100101,JESSICA OSORIO,RECURRENTE,MÉXICO GRAN HOTEL,2000.0,BOLIGRAFO  NA,3.49,0.7,6.35,12700.0,3.0,0.0,4309.53
2018-12-13 13:25:51,2018-12-10,PB1812110101,JESSICA OSORIO,RECURRENTE,VIAMAR,4.0,MOCHILAS,470.39,0.0,602.1,2408.4,0.0,0.0,526.84
2018-12-13 13:30:42,2018-12-12,PB1812120201,JESSICA OSORIO,RECURRENTE,SON`S,2000.0,USB PVC BARMICIL,92.84,0.0,110.97,221940.0,0.0,0.0,36260.0
2018-12-13 13:30:42,2018-12-12,PB1812120201,JESSICA OSORIO,RECURRENTE,SON`S,1000.0,PUNCHING BAG,44.0,0.0,51.48,51480.0,0.0,0.0,7480.0
2018-12-13 13:30:42,2018-12-12,PB1812120201,JESSICA OSORIO,RECURRENTE,SON`S,1000.0,LLAVERO PVC,18.64,0.0,21.44,21440.0,0.0,0.0,2800.0
2018-12-13 13:30:42,2018-12-12,PB1812120201,JESSICA OSORIO,RECURRENTE,SON`S,10000.0,BOLIGRAFO R,2.32,1.75,4.88,48800.0,30.0,0.0,8030.4
2018-12-18 12:22:46,2018-12-17,PB1810250104,JESSICA OSORIO,RECURRENTE,SON`S,300.0,MINI MALETIN DE POKER,261.5,1.5,297.19,89157.0,1.0,0.0,9995.5
2019-01-23 19:31:17,2019-01-24,PB1811290201,JESSICA OSORIO,RECURRENTE,HITCHINER,9.0,CHAMARRAS,2.35,0.0,15.89,143.01,0.0,0.0,121.86
2019-01-23 19:31:17,2019-01-23,PB1901180202,JESSICA OSORIO,RECURRENTE,VIMAR,5.0,MOCHILAS,498.39,0.0,647.91,3239.55,0.0,0.0,747.6
2019-01-23 19:38:16,2019-01-23,PB1901210203,JESSICA OSORIO,RECURRENTE,HITCHINER,36.0,CHALECOS,40.0,0.0,72.0,2592.0,0.0,0.0,1152.0
2019-01-25 11:46:28,2019-01-24,PB1901210303,JESSICA OSORIO,RECURRENTE,HITCHINER,1.0,TELA PARA ROLL UP,220.0,0.0,880.0,880.0,0.0,0.0,660.0
2019-01-31 18:47:33,2019-01-29,PB1901300101,JESSICA OSORIO,RECURRENTE,VIMAR,5.0,MOCHILAS,498.39,0.0,647.91,3239.55,0.0,0.0,747.6
